Datum zaúčtování;Datum dokladu;Materiálový doklad;Položka;Závod;Sklad;Materiál;Text materiálu;Skupina materiálu;Druh pohybu;Text druhu pohybu;S/H;Množství;ZMJ;Cena za MJ;Hodnota pohybu;Měna;Výrobní zakázka;Dodavatel;Odběratel;Šarže;Tržba bez DPH;COGS;Režie;Uživatel;Nákladové středisko
05.01.2026;05.01.2026;4900000035;1;1000;0001;1000106;Tlumič gumový 44;Těsnění a guma;101;Příjem zboží na objednávku;S;1151,970;KS;67,12;77320,23;CZK;;Lapp Kabel s.r.o.;;SN1852;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000043;1;1000;0001;1000107;Profil U 83;Ocel;101;Příjem zboží na objednávku;S;475,260;KG;26,39;12542,11;CZK;;Hilti ČR s.r.o.;;SN9866;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000056;1;2000;0001;1000110;Motor 70 kW;Elektro;101;Příjem zboží na objednávku;S;607,120;KS;215,98;131125,78;CZK;;Alumat s.r.o.;;SN4734;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000063;1;1000;0001;1000111;Podložka 21;Spojovací materiál;101;Příjem zboží na objednávku;S;155,870;KS;16,00;2493,92;CZK;;ThyssenKrupp Ferrostal;;SN4700;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000068;1;1000;0001;1000112;Lak polyuretanový RAL 3020;Nátěry a chemie;101;Příjem zboží na objednávku;S;1740,770;L;246,57;429221,66;CZK;;ABB s.r.o.;;SN6214;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000080;1;1000;0001;1000114;Jekl 107x107x78;Ocel;101;Příjem zboží na objednávku;S;813,050;KG;20,98;17057,79;CZK;;Trelleborg Bohemia;;SN1526;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000104;1;1000;0001;1000118;Kolík 35x36;Spojovací materiál;101;Příjem zboží na objednávku;S;1168,930;KS;6,62;7738,32;CZK;;Ferona a.s.;;SN7352;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000107;1;2000;0001;1000119;Ředidlo S11;Nátěry a chemie;101;Příjem zboží na objednávku;S;202,750;L;174,34;35347,43;CZK;;Hennlich s.r.o.;;SN4907;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000115;1;2000;0001;1000121;Jekl 97x97x38;Ocel;101;Příjem zboží na objednávku;S;1807,960;KG;29,43;53208,26;CZK;;Killich s.r.o.;;SN3498;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000119;1;2000;0001;1000121;Jekl 97x97x38;Ocel;101;Příjem zboží na objednávku;S;1248,810;KG;29,43;36752,48;CZK;;Haberkorn s.r.o.;;SN1712;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000134;1;2000;0001;1000123;Granulát ABS 76;Plasty;101;Příjem zboží na objednávku;S;1306,450;KG;48,36;63179,92;CZK;;ArcelorMittal Distribution;;SN4342;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000156;1;2000;0001;1000128;Tyč kruhová 75 mm;Ocel;101;Příjem zboží na objednávku;S;785,340;KG;24,82;19492,14;CZK;;Metalšrot Tlumačov;;SN2590;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000159;1;2000;0001;1000128;Tyč kruhová 75 mm;Ocel;101;Příjem zboží na objednávku;S;1153,930;KG;24,82;28640,54;CZK;;Plastika Nitra a.s.;;SN1622;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000163;1;1000;0001;1000129;Profil Al 107x59;Hliník;101;Příjem zboží na objednávku;S;2188,770;KG;63,91;139884,29;CZK;;Plastika Nitra a.s.;;SN6631;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000180;1;2000;0001;1000132;Matice M34;Spojovací materiál;101;Příjem zboží na objednávku;S;98,340;KS;7,13;701,16;CZK;;Bibus s.r.o.;;SN8085;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000181;1;2000;0001;1000132;Matice M34;Spojovací materiál;101;Příjem zboží na objednávku;S;410,230;KS;7,13;2924,94;CZK;;Colorlak a.s.;;SN4494;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000216;1;1000;0001;1000139;Nýt 46x36;Spojovací materiál;101;Příjem zboží na objednávku;S;453,560;KS;4,20;1904,95;CZK;;Haberkorn s.r.o.;;SN7469;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000217;1;1000;0001;1000139;Nýt 46x36;Spojovací materiál;101;Příjem zboží na objednávku;S;528,140;KS;4,20;2218,19;CZK;;ABB s.r.o.;;SN6883;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000231;1;2000;0001;1000141;Těsnění ploché 77 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;556,430;KS;20,01;11134,16;CZK;;Alumat s.r.o.;;SN2471;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000240;1;2000;0001;1000143;Plech Al 68 mm;Hliník;101;Příjem zboží na objednávku;S;719,000;KG;76,77;55197,63;CZK;;Plastika Nitra a.s.;;SN1383;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000256;1;1000;0001;1000145;Stykač 108 A;Elektro;101;Příjem zboží na objednávku;S;177,100;KS;646,65;114521,71;CZK;;Colorlak a.s.;;SN2342;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000280;1;2000;0001;1000149;Trubka ocelová 66x16;Ocel;101;Příjem zboží na objednávku;S;1605,310;KG;25,21;40469,87;CZK;;Haberkorn s.r.o.;;SN5618;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900000311;1;1000;0001;1000155;Těsnění ploché 95 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;1175,410;KS;30,84;36249,64;CZK;;Haberkorn s.r.o.;;SN4368;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000320;1;2000;0001;1000157;Trubka Al 95 mm;Hliník;101;Příjem zboží na objednávku;S;1050,490;KG;85,98;90321,13;CZK;;Rubena a.s.;;SN5395;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000327;1;2000;0001;1000158;Deska PP 31 mm;Plasty;101;Příjem zboží na objednávku;S;1720,930;KG;75,68;130239,98;CZK;;Bibus s.r.o.;;SN3288;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000374;1;1000;0001;1000166;Motor 76 kW;Elektro;101;Příjem zboží na objednávku;S;197,570;KS;333,01;65792,79;CZK;;ArcelorMittal Distribution;;SN7636;;;;DVORAKP;4010 Nákup
05.01.2026;05.01.2026;4900000382;1;1000;0001;1000167;Nýt 105x50;Spojovací materiál;101;Příjem zboží na objednávku;S;1033,400;KS;10,11;10447,67;CZK;;Ferona a.s.;;SN3787;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000421;1;1000;0001;1000174;Nýt 118x78;Spojovací materiál;101;Příjem zboží na objednávku;S;1135,670;KS;11,72;13310,05;CZK;;Hilti ČR s.r.o.;;SN6106;;;;VESELAM;4010 Nákup
05.01.2026;05.01.2026;4900000424;1;1000;0001;1000174;Nýt 118x78;Spojovací materiál;101;Příjem zboží na objednávku;S;273,440;KS;11,72;3204,72;CZK;;Alumat s.r.o.;;SN2162;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000444;1;2000;0001;1000177;Plech ocelový 91 mm;Ocel;101;Příjem zboží na objednávku;S;1513,520;KG;41,14;62266,21;CZK;;Alumat s.r.o.;;SN4230;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000450;1;1000;0001;1000178;Profil Al 34x34;Hliník;101;Příjem zboží na objednávku;S;1088,500;KG;74,24;80810,24;CZK;;Hilti ČR s.r.o.;;SN8562;;;;HORAKT;4010 Nákup
05.01.2026;05.01.2026;4900000477;1;1000;0001;1000183;O-kroužek 107 mm;Těsnění a guma;101;Příjem zboží na objednávku;S;613,600;KS;51,09;31348,82;CZK;;Bibus s.r.o.;;SN4082;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000490;1;2000;0001;1000186;Deska PP 63 mm;Plasty;101;Příjem zboží na objednávku;S;1062,100;KG;66,21;70321,64;CZK;;Rubena a.s.;;SN3186;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000498;1;1000;0001;1000188;Kolík 68x10;Spojovací materiál;101;Příjem zboží na objednávku;S;312,870;KS;8,82;2759,51;CZK;;Lapp Kabel s.r.o.;;SN4435;;;;CERNAT;4010 Nákup
05.01.2026;05.01.2026;4900000505;1;2000;0001;1000189;Lak polyuretanový RAL 6011;Nátěry a chemie;101;Příjem zboží na objednávku;S;839,430;L;322,32;270565,08;CZK;;Schneider Electric CZ;;SN6707;;;;KUCERAL;4010 Nákup
05.01.2026;05.01.2026;4900000520;1;1000;0001;1000192;Plech Al 70 mm;Hliník;101;Příjem zboží na objednávku;S;1733,450;KG;121,62;210822,19;CZK;;Siemens s.r.o.;;SN3910;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000527;1;1000;0001;1000193;Deska PE 67 mm;Plasty;101;Příjem zboží na objednávku;S;1338,610;KG;87,82;117556,73;CZK;;Rubena a.s.;;SN9091;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000529;1;1000;0001;1000193;Deska PE 67 mm;Plasty;101;Příjem zboží na objednávku;S;806,780;KG;87,82;70851,42;CZK;;Hilti ČR s.r.o.;;SN1838;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000536;1;2000;0001;1000195;Kolík 20x27;Spojovací materiál;101;Příjem zboží na objednávku;S;506,880;KS;15,97;8094,87;CZK;;Killich s.r.o.;;SN7049;;;;NOVAKJ;4010 Nákup
05.01.2026;05.01.2026;4900000556;1;2000;0001;1000198;Trubka ocelová 56x45;Ocel;101;Příjem zboží na objednávku;S;2031,320;KG;20,95;42556,15;CZK;;ArcelorMittal Distribution;;SN9110;;;;PROCHAZ;4010 Nákup
05.01.2026;05.01.2026;4900000567;1;1000;0001;1000200;Deska PE 42 mm;Plasty;101;Příjem zboží na objednávku;S;1259,210;KG;93,92;118265,00;CZK;;Haberkorn s.r.o.;;SN2006;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000572;1;1000;0001;1000200;Deska PE 42 mm;Plasty;101;Příjem zboží na objednávku;S;972,620;KG;93,92;91348,47;CZK;;Bossard CZ s.r.o.;;SN7653;;;;SVOBODM;4010 Nákup
05.01.2026;05.01.2026;4900000576;1;1000;0001;1000201;Motor 5 kW;Elektro;101;Příjem zboží na objednávku;S;247,380;KS;658,47;162892,31;CZK;;Ferona a.s.;;SN7189;;;;KUCERAL;4010 Nákup
